FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,STATE,LATITUDE,LONGITUDE,OWNER_DESCR,MONTH,MONTH_NAME,CAUSE_TYPE,SIZE_CLASS_LABEL
2001,56,Equipment Use,0.6,B,WV,39.46833353,-80.34162911,PRIVATE,2,Feb,Human,B: 0.25-9.9 acres
2006,345,Arson,9.96,B,GA,34.50621025,-85.29849924,MISSING/NOT SPECIFIED,12,Dec,Human,B: 0.25-9.9 acres
2010,243,Miscellaneous,0.1,A,CA,41.0916667,-123.525833,USFS,8,Aug,Human,A: <0.25 acres
1998,199,Equipment Use,10,C,CA,35.635,-118.47666667,STATE OR PRIVATE,7,Jul,Human,C: 10-99.9 acres
2005,311,Children,0.25,A,NJ,39.91582002,-74.17897002,MISSING/NOT SPECIFIED,11,Nov,Human,A: <0.25 acres
1999,149,Lightning,0.3,B,CA,40.510069,-122.756689,PRIVATE,5,May,Natural,B: 0.25-9.9 acres
2011,78,Smoking,0.1,A,NY,41.11698304,-74.15167806,MISSING/NOT SPECIFIED,3,Mar,Human,A: <0.25 acres
1995,106,Equipment Use,4,B,FL,28.21,-82.03,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2008,52,Miscellaneous,0.1,A,NY,40.90081613,-73.86986954,MISSING/NOT SPECIFIED,2,Feb,Human,A: <0.25 acres
2000,115,Equipment Use,14,C,MN,46.50103384,-94.73109969,MISSING/NOT SPECIFIED,4,Apr,Human,C: 10-99.9 acres
2012,273,Miscellaneous,2,B,SD,45.59040766,-98.11160088,PRIVATE,9,Sep,Human,B: 0.25-9.9 acres
2005,301,Debris Burning,3,B,MS,31.6022,-90.4389,MISSING/NOT SPECIFIED,10,Oct,Human,B: 0.25-9.9 acres
1995,210,Arson,150,D,CA,32.6751,-116.3592,BIA,7,Jul,Human,D: 100-299 acres
1996,132,Smoking,1200,F,AK,58.2159,-152.5188,TRIBAL,5,May,Human,F: 1000-4999 acres
1997,73,Arson,3,B,MS,30.63912742,-89.19012584,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
2002,29,Debris Burning,1.5,B,SC,33.4772,-80.9767,MISSING/NOT SPECIFIED,1,Jan,Human,B: 0.25-9.9 acres
2012,184,Lightning,0.1,A,WY,42.31361111,-105.23694444,MISSING/NOT SPECIFIED,7,Jul,Natural,A: <0.25 acres
2006,163,Equipment Use,0.1,A,CA,33.069058,-116.576761,PRIVATE,6,Jun,Human,A: <0.25 acres
2000,55,Miscellaneous,40,C,LA,31.2958,-92.8878,MISSING/NOT SPECIFIED,2,Feb,Human,C: 10-99.9 acres
2002,67,Debris Burning,2,B,WV,38.89399487,-78.94766794,PRIVATE,3,Mar,Human,B: 0.25-9.9 acres
2015,95,Miscellaneous,8,B,AL,34.58797,-85.609659,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2007,188,Children,0.1,A,CA,39.293972,-120.986392,PRIVATE,7,Jul,Human,A: <0.25 acres
2000,134,Equipment Use,0.1,A,SD,44.055,-99.4187,BIA,5,May,Human,A: <0.25 acres
2011,164,Missing/Undefined,1,B,MS,33.123472,-89.610316,MISSING/NOT SPECIFIED,6,Jun,Human,B: 0.25-9.9 acres
1998,212,Miscellaneous,3,B,MS,31.07678229,-91.27842981,MISSING/NOT SPECIFIED,7,Jul,Human,B: 0.25-9.9 acres
2008,183,Arson,450,E,CA,36.02694444,-118.92111111,MISSING/NOT SPECIFIED,7,Jul,Human,E: 300-999 acres
1992,286,Arson,2,B,TX,30.43958,-95.21458,MISSING/NOT SPECIFIED,10,Oct,Human,B: 0.25-9.9 acres
2013,131,Children,0.1,A,CA,33.940133,-116.981983,MISSING/NOT SPECIFIED,5,May,Human,A: <0.25 acres
2011,8,Miscellaneous,3,B,AL,33.829638,-87.3235669,MISSING/NOT SPECIFIED,1,Jan,Human,B: 0.25-9.9 acres
1993,121,Arson,0.1,A,CA,36.50888888,-119.25888888,MISSING/NOT SPECIFIED,4,Apr,Human,A: <0.25 acres
2015,46,Debris Burning,6.22,B,GA,33.35841667,-82.74193056,PRIVATE,2,Feb,Human,B: 0.25-9.9 acres
1992,289,Arson,1,B,MS,32.58815169,-89.46523863,MISSING/NOT SPECIFIED,10,Oct,Human,B: 0.25-9.9 acres
2002,362,Debris Burning,1,B,AR,33.3189,-93.9606,MISSING/NOT SPECIFIED,12,Dec,Human,B: 0.25-9.9 acres
2014,343,Debris Burning,4.6,B,LA,30.3236,-93.4905,PRIVATE,12,Dec,Human,B: 0.25-9.9 acres
2015,206,Debris Burning,1.1,B,GA,33.14088056,-83.27123889,MISSING/NOT SPECIFIED,7,Jul,Human,B: 0.25-9.9 acres
2006,304,Smoking,0.01,A,OR,43.26667,-123.53333,PRIVATE,10,Oct,Human,A: <0.25 acres
2009,210,Lightning,2.2,B,CA,36.5359,-118.6203,NPS,7,Jul,Natural,B: 0.25-9.9 acres
2000,74,Railroad,0.6,B,FL,29.86,-81.91,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
1998,331,Miscellaneous,5,B,OK,35.5589,-94.6392,MISSING/NOT SPECIFIED,11,Nov,Human,B: 0.25-9.9 acres
2014,18,Debris Burning,3.2,B,GA,32.68638889,-84.65075,PRIVATE,1,Jan,Human,B: 0.25-9.9 acres
2009,180,Debris Burning,1,B,TX,30.50277778,-93.95833333,STATE OR PRIVATE,6,Jun,Human,B: 0.25-9.9 acres
1998,132,Lightning,0.3,B,GA,33.9328,-84.7553,MISSING/NOT SPECIFIED,5,May,Natural,B: 0.25-9.9 acres
